from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246072524607272+1159672+0,246072524607272+1158234+0,1,
33,33,,,246071024607202+1159680+0,246071024607202+1159528+0,1,
33,33,,,246071024607202+1159686+0,246071024607202+1159532+0,1,
33,33,,,246073124607624+1159686+0,246073124607624+1159532+0,1,
33,33,,,246071024607203+1159692+0,246071024607203+1159538+0,1,
33,33,,,246071024607202+1159694+0,246071024607202+1159544+0,1,
33,33,,,246073124607624+1159694+0,246073124607624+1159544+0,1,
33,33,,,246072524607272+1159699+0,246072524607272+1159550+0,1,
33,33,,,246072524607273+1159699+0,246072524607273+1159550+0,1,
33,33,,,246073124607621+1159699+0,246073124607621+1159550+0,1,
33,33,,,246072524607273+1159703+0,246072524607273+1159558+0,1,
33,33,,,246072524607274+1159703+0,246072524607274+1159558+0,1,
33,33,,,246072524607273+1160015+0,246072524607273+1159574+0,1,
33,33,,,246071524607646+1160021+0,246072924607296+1163870+0,1,
33,33,,,246073124607622+1160058+0,246073124607622+1159578+0,1,
33,33,,,246073124607623+1160058+0,246073124607623+1159578+0,1,
33,33,,,246071024607201+1160242+0,246071024607201+1159590+0,1,
33,33,,,246073124607623+1160242+0,246073124607623+1159590+0,1,
33,33,,,246072524607272+1160246+0,246072524607272+1159594+0,1,
33,33,,,246071024607202+1160248+0,246071024607202+1159598+0,1,
